prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
7240.0,500.0,22.638054847717285,116.47683882713318,1,-1.0,1743928221.416867,1743928360.5317621
7753.0,490.0,56.82306885719299,76.37083888053894,2,-1.0,1743928221.5180478,1743928354.7119565
7753.0,794.0,56.721476554870605,129.4999120235443,3,-1.0,1743928221.619127,1743928407.8405166
2623.0,316.0,56.61697721481323,27.671441078186035,4,-1.0,1743928221.7194808,1743928306.0079002
7240.0,3.0,56.52168607711792,3.4639434814453125,5,-1.0,1743928221.820907,1743928281.8065374
5188.0,173.0,56.418182373046875,20.977509021759033,6,-1.0,1743928221.9219182,1743928299.3176105
23656.0,453.0,56.317028522491455,47.07935976982117,7,-1.0,1743928222.0250452,1743928325.4214342
27247.0,458.0,56.20949983596802,61.47785210609436,8,-1.0,1743928222.1281917,1743928339.8155444
10831.0,402.0,56.112176179885864,32.02748346328735,9,-1.0,1743928222.2294052,1743928310.3690655
18013.0,610.0,56.005868673324585,90.30799984931946,10,-1.0,1743928222.331317,1743928368.6451862
13909.0,71.0,56.98819375038147,4.184389591217041,11,-1.0,1743928224.4366744,1743928285.6092582
87781.0,402.0,56.7947359085083,28.94470238685608,12,-1.0,1743928224.6288617,1743928310.3683012
6727.0,548.0,56.696996212005615,84.45298790931702,13,-1.0,1743928224.7297852,1743928365.87977
2110.0,354.0,56.59414768218994,26.256492137908936,14,-1.0,1743928224.830142,1743928307.6807828
7753.0,14.0,56.49432349205017,0.8359496593475342,15,-1.0,1743928224.931208,1743928282.2614818
9805.0,145.0,56.39387130737305,12.797181844711304,16,-1.0,1743928225.0323298,1743928294.2233837
1084.0,355.0,56.28997802734375,26.299267530441284,17,-1.0,1743928225.1326857,1743928307.721932
13396.0,466.0,56.25134301185608,66.40471053123474,18,-1.0,1743928225.234043,1743928347.8900974
21091.0,929.0,64.68743062019348,156.4394335746765,19,-1.0,1743928225.3358698,1743928446.462735
16987.0,349.0,72.25332832336426,61.191025495529175,20,-1.0,1743928225.437218,1743928358.881573
26734.0,370.0,97.93890762329102,70.83070707321167,21,-1.0,1743928225.5396602,1743928394.3092754
6214.0,475.0,97.83744716644287,106.04867219924927,22,-1.0,1743928225.6405044,1743928429.5266247
6214.0,420.0,97.73582077026367,94.54049873352051,23,-1.0,1743928225.741523,1743928418.0178437
11857.0,848.0,97.63596367835999,172.4959011077881,24,-1.0,1743928225.8432593,1743928495.975125
15448.0,80.0,97.53197121620178,25.110586643218994,25,-1.0,1743928225.9445145,1743928348.5870733
46228.0,265.0,113.51208186149597,40.308614015579224,26,-1.0,1743928226.1136067,1743928379.9343035
1597.0,26.0,112.20877003669739,8.828210592269897,27,-1.0,1743928227.4161756,1743928348.4531572
6214.0,745.0,112.10991430282593,138.6981496810913,28,-1.0,1743928227.5168638,1743928478.3249288
7753.0,11.0,112.00851941108704,6.444883346557617,29,-1.0,1743928227.6177542,1743928346.0711577
10831.0,584.0,115.4054696559906,108.04202795028687,30,-1.0,1743928230.424096,1743928453.8715947
1597.0,615.0,115.30565142631531,109.39486694335938,31,-1.0,1743928230.524408,1743928455.2249274
15961.0,344.0,115.20339274406433,62.45783758163452,32,-1.0,1743928230.6256635,1743928408.2868946
4162.0,309.0,115.10420799255371,48.231330156326294,33,-1.0,1743928230.7263262,1743928394.0618656
9292.0,1.0,117.0078592300415,0.0010828971862792969,34,-1.0,1743928230.8271437,1743928347.8360865
26734.0,238.0,123.45455050468445,32.25492596626282,35,-1.0,1743928230.9290774,1743928386.6385546
16987.0,449.0,127.70733451843262,75.561439037323,36,-1.0,1743928231.030766,1743928434.2995403
2623.0,31.0,127.60769653320312,5.941317081451416,37,-1.0,1743928231.1314836,1743928364.680498
1597.0,240.0,127.50660824775696,33.469290018081665,38,-1.0,1743928231.2320602,1743928392.2079597
4162.0,555.0,126.77827072143555,94.09746980667114,39,-1.0,1743928233.436259,1743928454.312
2110.0,524.0,126.67855477333069,91.78747057914734,40,-1.0,1743928233.537002,1743928452.0030286
2110.0,587.0,126.57780051231384,100.30560874938965,41,-1.0,1743928233.6372452,1743928460.5206554
14427.0,227.0,129.71205806732178,28.617403030395508,42,-1.0,1743928233.739147,1743928392.068609
12393.0,239.0,139.27472591400146,52.46443748474121,43,-1.0,1743928233.8403826,1743928425.579547
1599.0,324.0,139.17527222633362,60.90811014175415,44,-1.0,1743928233.9409015,1743928434.0242848
9823.0,203.0,139.0732078552246,41.06107306480408,45,-1.0,1743928234.0424526,1743928414.1767347
20617.0,105.0,152.42835569381714,31.494130611419678,46,-1.0,1743928234.144457,1743928418.0669444
6739.0,481.0,150.11802697181702,91.79822039604187,47,-1.0,1743928236.4542193,1743928478.3704677
1085.0,324.0,150.01701641082764,67.30005621910095,48,-1.0,1743928236.5545797,1743928453.8716533
5711.0,361.0,149.91543531417847,68.8818666934967,49,-1.0,1743928236.6552932,1743928455.4525962
24215.0,362.0,154.99907088279724,68.80593919754028,50,-1.0,1743928236.7591937,1743928460.5642045
38607.0,589.0,169.73299169540405,109.34857869148254,51,-1.0,1743928236.8641667,1743928515.945738
7767.0,415.0,169.63235712051392,71.25034427642822,52,-1.0,1743928236.9653423,1743928477.8480446
9309.0,219.0,169.52626156806946,34.95939350128174,53,-1.0,1743928237.070272,1743928441.555928
24729.0,587.0,176.42677855491638,111.6334319114685,54,-1.0,1743928237.1717436,1743928525.231955
15991.0,417.0,180.27845001220703,68.41149568557739,55,-1.0,1743928237.2737284,1743928485.963675
28327.0,459.0,186.82133102416992,76.8686511516571,56,-1.0,1743928237.388111,1743928501.0780942
11365.0,98.0,190.30432295799255,9.7836434841156,57,-1.0,1743928237.4893064,1743928437.5772738
5197.0,24.0,192.8526315689087,1.28041672706604,58,-1.0,1743928237.5899527,1743928431.723002
2627.0,355.0,194.6292703151703,67.65199112892151,59,-1.0,1743928237.6905406,1743928499.971803
1085.0,421.0,194.52960896492004,70.33270573616028,60,-1.0,1743928237.7908585,1743928502.653174
14449.0,522.0,199.28566098213196,95.58286929130554,61,-1.0,1743928237.8925502,1743928532.7610817
8281.0,375.0,199.69805264472961,63.458863973617554,62,-1.0,1743928239.4961874,1743928502.6531053
14449.0,534.0,206.23013854026794,105.12679624557495,63,-1.0,1743928239.5974565,1743928550.954392
1085.0,57.0,206.13014554977417,8.423850059509277,64,-1.0,1743928239.6980598,1743928454.2520568
20103.0,178.0,211.27485942840576,20.188154935836792,65,-1.0,1743928239.8007958,1743928471.263811
