prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
7240,500,0.6257445812225342,110.34247779846191,1,-1,1743922440.578674,1743922551.5468972
7753,490,0.9980578422546387,107.74299621582031,2,-1,1743922440.6794565,1743922549.4205112
7753,794,1.5150432586669922,151.69162011146545,3,-1,1743922440.780172,1743922593.986836
2623,316,1.5592420101165771,82.16037964820862,4,-1,1743922440.8805268,1743922524.6001494
7240,3,1.929187297821045,0.32033777236938477,5,-1,1743922440.9814692,1743922443.230995
5188,173,2.147580146789551,54.911598920822144,6,-1,1743922441.081941,1743922498.1411214
23656,453,4.511495351791382,98.79370546340942,7,-1,1743922441.1827083,1743922544.4879098
27247,458,7.395441293716431,101.64669966697693,8,-1,1743922441.283797,1743922550.3259392
10831,402,8.272203207015991,85.99402809143066,9,-1,1743922441.3843572,1743922535.6505892
18013,610,9.931239128112793,134.3276879787445,10,-1,1743922441.4851873,1743922585.7441149
13909,71,9.289113283157349,26.53730821609497,11,-1,1743922443.5885196,1743922479.414942
87781,402,28.204839944839478,80.68266558647156,12,-1,1743922443.6905994,1743922552.578106
6727,548,28.876460790634155,112.57048964500427,13,-1,1743922443.7911863,1743922585.2381372
2110,354,29.026318073272705,65.64906740188599,14,-1,1743922443.8914187,1743922538.5668054
7753,14,29.724071502685547,3.544421911239624,15,-1,1743922443.9920719,1743922477.2605662
9805,145,30.950676918029785,42.216447591781616,16,-1,1743922444.0945835,1743922517.2617087
1084,355,30.85345482826233,66.31963467597961,17,-1,1743922444.1947,1743922541.3677902
13396,466,32.43696427345276,100.10807609558105,18,-1,1743922444.2951574,1743922576.8401988
21091,730,35.36509299278259,116.72790837287903,19,-1,1743922444.3957493,1743922596.4887512
16987,349,38.37498116493225,64.57512545585632,20,-1,1743922444.4962983,1743922547.446406
26734,370,42.21274495124817,70.851078748703,21,-1,1743922444.5973806,1743922557.661205
6214,475,42.93070602416992,96.13018870353699,22,-1,1743922444.6976514,1743922583.7585473
6214,420,43.65292954444885,85.86539459228516,23,-1,1743922444.7984684,1743922574.3167934
11857,848,45.29292821884155,110.38011574745178,24,-1,1743922444.8989353,1743922600.5719802
15448,80,47.33894324302673,21.857155084609985,25,-1,1743922444.99964,1743922514.1957397
46228,265,56.28565049171448,36.59614133834839,26,-1,1743922445.1008797,1743922537.9826727
1597,26,54.780123710632324,7.760124444961548,27,-1,1743922446.603337,1743922509.1435864
6214,645,55.56615900993347,93.44540619850159,28,-1,1743922446.7039673,1743922595.7155337
7753,11,56.37121248245239,3.0826690196990967,29,-1,1743922446.8045502,1743922506.2584326
10831,584,55.409674644470215,88.3335509300232,30,-1,1743922449.6088297,1743922593.352056
1597,615,55.30919075012207,89.86297988891602,31,-1,1743922449.7098036,1743922594.881975
15961,344,57.78914999961853,60.692397117614746,32,-1,1743922449.8101375,1743922568.2916858
4162,309,58.29064679145813,50.61497950553894,33,-1,1743922449.9104533,1743922558.8160803
9292,1,59.43917465209961,0.0033550262451171875,34,-1,1743922450.0109017,1743922509.4534328
26734,238,67.02100992202759,32.59077262878418,35,-1,1743922450.1118355,1743922549.7236187
16987,449,87.13273191452026,60.34483766555786,36,-1,1743922450.212554,1743922597.6901243
2623,31,87.95620393753052,9.547713041305542,37,-1,1743922450.312899,1743922547.8168168
1597,240,87.85678577423096,49.70348334312439,38,-1,1743922450.413403,1743922587.9736729
4162,555,86.23579573631287,61.794137477874756,39,-1,1743922452.6216152,1743922600.6515493
2110,524,86.42377257347107,60.84540796279907,40,-1,1743922452.7222097,1743922599.991391
2110,587,86.61394143104553,61.78089380264282,41,-1,1743922452.8226137,1743922601.2174497
14427,227,88.738037109375,46.19942855834961,42,-1,1743922452.9234998,1743922587.860966
12393,239,90.53060340881348,45.37920618057251,43,-1,1743922453.0243065,1743922588.9341168
1599,324,90.43419218063354,50.25876426696777,44,-1,1743922453.1247182,1743922593.8176754
9823,203,91.88867378234863,41.96923208236694,45,-1,1743922453.2252448,1743922587.0831518
20617,105,95.16865181922913,30.90744376182556,46,-1,1743922453.3262,1743922579.4022965
6739,481,93.78692531585693,50.33832001686096,47,-1,1743922455.6294165,1743922599.7546628
1085,324,93.68124437332153,45.35367512702942,48,-1,1743922455.729854,1743922594.7647743
5711,323,94.49478149414062,44.515522480010986,49,-1,1743922455.8304982,1743922594.8408031
24215,362,97.91727137565613,42.94081234931946,50,-1,1743922455.9311943,1743922596.7892787
38607,589,103.9714047908783,42.25493860244751,51,-1,1743922456.0321536,1743922602.2584977
7767,415,104.84674000740051,38.02516770362854,52,-1,1743922456.132738,1743922599.0046465
9309,219,105.75357723236084,29.384480476379395,53,-1,1743922456.2329726,1743922591.371031
24729,331,109.21666288375854,31.472041845321655,54,-1,1743922456.333972,1743922597.0226774
15991,417,111.32771396636963,31.91554856300354,55,-1,1743922456.434486,1743922599.677749
28327,459,115.36376309394836,28.962199449539185,56,-1,1743922456.5356004,1743922600.8615637
11365,98,116.88242626190186,12.782349824905396,57,-1,1743922456.635986,1743922586.3007634
5197,24,117.31644678115845,6.435155868530273,58,-1,1743922456.7365804,1743922580.4881835
2627,355,117.47866702079773,24.336564302444458,59,-1,1743922456.836932,1743922598.6521645
1085,421,117.36974310874939,25.962576627731323,60,-1,1743922456.937318,1743922600.2696383
14449,269,119.2609179019928,19.888100147247314,61,-1,1743922457.0378695,1743922596.1868887
8281,375,118.74387526512146,22.065165758132935,62,-1,1743922458.6406047,1743922599.4496472
14449,262,120.65694046020508,16.943159580230713,63,-1,1743922458.741338,1743922596.3414385
1085,57,120.55790376663208,5.720770835876465,64,-1,1743922458.8417752,1743922585.1204505
20103,178,123.4108772277832,10.651790618896484,65,-1,1743922458.9425151,1743922593.0051837
